id,dish_name_hebrew,ingredients,gross_yield_per_person,gross_yield_per_gn1_1,preparation_method,notes
1,עוף עם זיתים,,,,"לטגן בצל, להוסיף חתיכות עוף מתובלות (ירך/שוק), לטגן קלות. להוסיף זיתים מגולענים, מים, תבלינים. לבשל מכוסה כשעה עד ריכוך.",
2,עוף עם ירקות,,,,"לטגן עוף חתוך, להוסיף קוביות ירקות (גזר, תפו״א, קישוא), תבלינים ומעט מים. לבשל מכוסה כ-45 דק׳. ניתן גם לאפות בתנור.",
3,עוף ברוטב צ׳ילי,,,,"לטגן עוף חתוך (רצוי ירך), להוסיף רוטב צ׳ילי מתוק/חריף, סויה, שום וג׳ינג׳ר. לבשל 20–30 דק׳ עד שהרוטב מצטמצם.",
4,עוף מתנור,,,,למרוח עוף שלם או חלקים בשמן ותבלינים. לאפות בתנור 180°C 50–60 דק׳ עד שהעוף זהוב ומוכן. ניתן לכסות חלקית למניעת יובש.,
5,עוף שלם,,,,"לשטוף עוף שלם, לתבל היטב כולל פנימה. לצלות ב-180–190°C כשעה ורבע, עד שהעסיסים שקופים. לבדוק גם באזור הירך.",
6,שניצל,,,,"לפרוס חזה עוף, לשטח, לתבל, לעבור קמח → ביצה → פירורי לחם. לטגן בשמן עמוק 175°C עד זהוב. להניח על נייר סופג.",
7,פרגית מהתנור,,,,"לתבל פרגית (סטייקים מחלק עליון של ירך), לסדר בתבנית, לאפות 30–40 דק׳ ב-180°C עד רכות. ניתן לכסות חצי מהזמן.",
8,פרגית על גריל,,,,"למרוח פרגית במרינדה (שמן, פפריקה, שום, לימון), לצלות על גריל חם 4–5 דק׳ מכל צד. לא לייבש מדי.",grill
9,עוף על הגריל,,,,"לחתוך עוף לחלקים, לתבל, לצלות על גריל (עדיף מכסה) 8–10 דק׳ מכל צד עד שהעוף מבושל היטב אך לא יבש.",grill
10,כנפיים בצ׳ילי,,,,"למרוח כנפיים ברוטב צ׳ילי, סויה, שום, שמן. לאפות 35–40 דק׳ ב-190°C או לצלות על גריל. להפוך כל 10 דק׳.",grill
